"subjectid" "activitylabel" "bodyaccelerationmeanalongx" "bodyaccelerationmeanalongy" "bodyaccelerationmeanalongz" "bodyaccelerationstandarddeviationalongx" "bodyaccelerationstandarddeviationalongy" "bodyaccelerationstandarddeviationalongz" "gravityaccelerationmeanalongx" "gravityaccelerationmeanalongy" "gravityaccelerationmeanalongz" "gravityaccelerationstandarddeviationalongx" "gravityaccelerationstandarddeviationalongy" "gravityaccelerationstandarddeviationalongz" "bodyangularvelocitymeanalongx" "bodyangularvelocitymeanalongy" "bodyangularvelocitymeanalongz" "bodyangularvelocitystandarddeviationalongx" "bodyangularvelocitystandarddeviationalongy" "bodyangularvelocitystandarddeviationalongz"
10 "LAYING" 0.253808780479798 -0.0220517028331818 -0.112355707133333 -0.952855306449495 -0.921731752853535 -0.922707752582828 -0.34394300769697 0.855516589459596 0.360640824389899 -0.928036345909091 -0.957151193474747 -0.931820292883838 -0.0162267933593939 -0.0794023242727273 0.158907225247475 -0.946167768439394 -0.963878538636364 -0.94230719459596
12 "LAYING" 0.267284987678125 -0.0173746471045313 -0.106396359756563 -0.9548163185125 -0.94404190528125 -0.93791292448125 -0.275209191971875 0.6944371336875 0.459395248009375 -0.933588217846875 -0.97000114275 -0.9486444097875 -0.00888718373084375 -0.0940762119728125 0.139072507865625 -0.96449732409375 -0.95602380290625 -0.9589432681875
13 "LAYING" 0.273332994577982 -0.0172655815533945 -0.106823670553517 -0.965482137889908 -0.957321002140673 -0.961879573455657 -0.332244729807339 0.523195048195719 0.765555230519878 -0.955177271651376 -0.976943593027523 -0.965655959174312 -0.0246165931267535 -0.101557181388379 0.107200612394495 -0.977543441865443 -0.964842693363914 -0.977400359082569
18 "LAYING" 0.26917043119478 -0.0185901654926374 -0.105300674524725 -0.952282180192308 -0.90741362742033 -0.919402666162088 -0.50064911989011 0.558463379598901 0.651681840376374 -0.925778386648352 -0.911873961236538 -0.90350049768956 -0.0126749276913736 -0.0925656581480769 0.129813431173077 -0.958175845467033 -0.962819173736264 -0.954376255989011
20 "LAYING" 0.276273518980226 -0.0176306785689266 -0.107985221793785 -0.967273855762712 -0.956614897655367 -0.968572200508475 -0.431537443531073 0.587255305084746 0.572031415903955 -0.955136002909605 -0.981812750084746 -0.980988842316384 -0.019604422130226 -0.0982855003424859 0.121027977350565 -0.973823327175141 -0.965440702655367 -0.965820803813559
24 "LAYING" 0.26590256187664 -0.018450429160315 -0.107805900854593 -0.968734134304462 -0.964822756299213 -0.966264300314961 -0.339184395559055 0.61897005 0.450523400272966 -0.955038528451444 -0.980535391863517 -0.972316118270341 -0.0179894820991811 -0.0894178685091864 0.114444326238845 -0.977523245931759 -0.96570825175853 -0.973017925931759
22 "SITTING" 0.242342180227273 0.0132365563772727 -0.0943327063636364 -0.959629945454545 -0.879783732272727 -0.898875892727273 0.802928254090909 0.209667421318182 0.374029643636364 -0.948631901818182 -0.900913834545455 -0.928240733181818 -0.0462552407318182 -0.101404469454545 0.0572219305 -0.961727141363636 -0.939561843181818 -0.911155598636364
23 "SITTING" 0.274021777553763 -0.0106752246809409 -0.108415182829839 -0.978492508064516 -0.91102006152957 -0.92009492763172 0.902386113494624 0.118222883928199 0.125492131483925 -0.974732761155914 -0.942402677258064 -0.932715725295699 -0.0437794256190591 -0.075416342036371 0.0753643463399462 -0.970464471612903 -0.959075320645161 -0.945223532822581
25 "SITTING" 0.276225947154034 -0.0133843668943765 -0.107366847249389 -0.986046152518337 -0.948903009744083 -0.949308184547677 0.853805366943765 0.113154502814181 0.110128814797457 -0.981541675892421 -0.964844213488998 -0.95317395895599 -0.0321849951992812 -0.0658814621168704 0.0870630964949389 -0.985986890929095 -0.968520418190709 -0.967001365134474
26 "SITTING" 0.272423459803571 -0.0139947553839796 -0.105718180646429 -0.986071145816326 -0.946335157982143 -0.94483014222449 0.866486385867347 0.132236348359694 0.204594430667168 -0.981698195688775 -0.964986902329082 -0.951961734132653 -0.0382919407780612 -0.0761216415188776 0.0776423178841837 -0.985602533392857 -0.969011263647959 -0.96578368244898
